type,reference,Co,Ni,Cu,Zn,Se,As,Ag,Sb,Au,Bi,Pb
Orogenic,"Zhong et al., 2021",518.6735623273828,185.10699903648668,0.23699999999999996,0.272,9.788302319346815,330.42484960257184,0.025,0.03399999999999999,0.008999999999999992,0.006999999999999997,0.032999999999999995
Orogenic,"Zhong et al., 2021",544.204323107029,338.5112268206594,1.5590530803874874,4.989966425061858,10.147547519511964,2181.1809102978955,0.6271303826093549,42.45814697654571,0.7281111735316752,0.022471333538770944,1.0807887408290937
Orogenic,"Zhong et al., 2021",32.315521875463396,791.4590669452394,78.77652715707897,31.19879875205429,9.441942567543453,10.305816140573146,0.6183663121330519,1266.7588993748327,0.008999999999999992,0.019173642102408232,7.12973654769525
Orogenic,"Zhong et al., 2021",37.13168714740243,1039.3210567312121,107.5367580269498,5.524762743487347,9.52852710133108,5.819973238003009,1.29699096565063,2918.954185150442,0.008999999999999992,0.006765310086029567,6.46085343004079
Orogenic,"Zhong et al., 2021",31.366772961785212,889.9417841074157,1513.69269695712,8.406763797672731,24.54491694381354,15.028420323773984,10.916024650900846,1922.7253947125623,0.008999999999999992,0.006999999999999997,171.69381886762852
Orogenic,"Zhong et al., 2021",839.4795536649361,335.1513866634325,514.1962742239535,66.99218031096444,7.731252288653044,2109.988272584127,119.52297956931733,1670.762986618195,0.6474263427164636,0.1335280521503363,20.354113375883063
Orogenic,"Zhong et al., 2021",734.957983168946,189.4194370928245,51.312574765163056,1.4253487259592417,7.831151416379652,211.6855847653514,2.36188841783332,87.88618213776438,0.008999999999999992,0.03863351594646202,14.620560553626381
Orogenic,"Zhong et al., 2021",443.01276112363325,978.6100395608064,314.93022831066924,39.001430441128555,18.025244500170125,135.6930643786656,15.41349900030039,498.4842350172826,0.024763319071930044,0.40728710643902993,72.14009795437677
Orogenic,"Zhong et al., 2021",2.235921434778527,1310.2278766333188,199.10997666910367,2.487883700315675,19.465263762026996,17.19156262990019,2.169425508772031,161.26164050898822,0.008999999999999992,0.006999999999999997,11.36588744255043
Orogenic,"Zhong et al., 2021",278.74144778982765,181.85371839814843,0.27618289738773705,0.272,10.367476198999038,267.8036585483685,0.025,0.03399999999999999,0.008999999999999992,0.006999999999999997,0.021734927473890893
Orogenic,"Zhong et al., 2021",322.23898912297,107.00854769992881,0.37830885149935234,0.272,8.989734932520022,903.8594206107504,0.025,0.03399999999999999,0.008999999999999992,0.006999999999999997,0.052399415725693316
Orogenic,"Zhong et al., 2021",116.17587264818309,2194.408164557341,234.77667532055276,169.04761007172687,53.84086144658713,4.050773027074062,1.7852001629624152,1927.4883420337949,0.008999999999999992,0.024514817268899727,9.387902025210819
Orogenic,"Zhong et al., 2021",72.51177248711365,945.8189949477813,0.4205106033896417,0.272,15.96655723831745,574.088517764595,0.025,0.07441467781630391,0.008999999999999992,0.006999999999999997,0.032999999999999995
Orogenic,"Zhong et al., 2021",140.8042778396802,93.49196753838706,546.6307493249273,1.0966661647655802,2.7040313467185073,6780.949343270493,8.581428217041443,30.167254424771155,12.20210115943939,0.029063073092020074,8.196460583218421
Orogenic,"Zhong et al., 2021",501.9959379248488,128.45222961253413,114.72560029478939,1.2744405315184213,8.305366401661724,1624.1505502875666,7.0553531411910795,16.940437234095484,1.4347001656710372,0.02742371225469448,2.7780021589213524
Orogenic,"Zhong et al., 2021",568.1244300563354,69.80160149735187,28.160337791361883,265.1511983019037,7.376076393240665,1977.7928477421879,6.001516395317235,5.411050711603716,0.9457898920557638,0.0757209785227342,0.7720682285014161
Orogenic,"Zhong et al., 2021",127.94618943096317,115.10870978982474,83.89360413210723,14.178968359825149,2.6427105820761607,4644.2645535594265,4.286052515276786,24.168367149865563,1.9100519056185448,0.22571006583969797,1.3555638588387378
Orogenic,"Zhong et al., 2021",228.56233408845233,187.817978016667,2245.403232288295,31.224078975616514,30.82684644823711,4528.784746312079,348.3414834563288,59.98512503797334,80.41775435145898,1.1506343797073468,280.1016246603968
Orogenic,"Zhong et al., 2021",135.50493595541155,133.36664027046834,556.3997721306133,1.7269625044962083,21.825837803014803,4964.59222881075,329.4922919964241,19.162599825422788,56.82702925679637,0.25520855443050294,53.15202530860127
Orogenic,"Zhong et al., 2021",114.70519430707624,45.78395291159386,87.28859747852013,1.8630393152616087,2.449110897350898,2972.0955204316483,812.0413987774708,30.647227895801564,122.39601418934447,0.9843439370891449,7.027400859258782
Orogenic,"Zhong et al., 2021",1332.1536961857248,181.75655010040458,2.0335052433109646,0.63447776044076,16.842701475354463,100.86675965981408,0.3355548007392221,0.3137882755295745,0.0988815583810237,0.007959363041953708,0.14711808565158266
Orogenic,"Zhong et al., 2021",464.92031989179503,101.18960511169361,739.944588141289,75.82796988919624,1.433263662374224,3950.2068923643774,10.439291524236634,14.730138555148761,3.0037257078755113,0.10753518299220304,6.108612075932433
Orogenic,"Zhong et al., 2021",243.0770754439129,144.1372668763714,3646.3618323618603,67.05002803105609,2.5981639496496305,10428.076407931574,53.17763420354701,113.41701564848346,6.426485889166542,0.05838101111160597,6.712426669812395
Orogenic,"Zhong et al., 2021",254.6872957816743,62.97600295858498,154.49120250146083,0.7054040593287823,1.7083108253393473,1224.9314484201047,13.225150677328296,4.398694827885472,2.711343662403471,0.5461518652559267,3.9483409390733786
Orogenic,"Zhong et al., 2021",242.0344877713297,3.8155239664714458,6.976338095863242,1.5599678224539062,11.709776463159349,43.25471067794569,0.29615920961920145,0.20887248083619064,0.161478772542095,12.883816785895423,20.151761847332775
